Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
BARMM,2010,2045100.0,458200.0,377400.0,227300.0,102600.0,53500.0,0.0,0.0,16.0,15.0,20.0,9.0,0.0,0.0,4.239533651298357e-05,6.599208095028597e-05,0.0001949317738791423,0.00016822429906542056
BARMM,2011,2102978.4,473807.80000000005,391183.2,236437.59999999998,105985.6,55858.2,0.0,0.0,16.0,14.0,20.0,9.0,0.0,0.0,4.0901552009391e-05,5.921224035432605e-05,0.00018870488066303345,0.00016112227032020367
BARMM,2012,2160856.8000000003,489415.6,404966.4,245575.2,109371.2,58216.4,0.0,0.0,17.0,13.0,20.0,8.0,0.0,0.0,4.197879132688539e-05,5.293694151526701e-05,0.00018286349605746302,0.00013741832198487024
BARMM,2013,2218735.1999999997,505023.39999999997,418749.6,254712.8,112756.8,60574.6,0.0,0.0,17.0,13.0,20.0,10.0,0.0,0.0,4.059705370464832e-05,5.103787481430066e-05,0.00017737289458374128,0.0001650856959847857
BARMM,2014,2276613.6,520631.19999999995,432532.8,263850.4,116142.4,62932.8,0.0,6.0,18.0,13.0,20.0,10.0,0.0,1.1524472601718837e-05,4.1615341079335484e-05,4.927034410408322e-05,0.0001722023998126438,0.0001588996516919635
BARMM,2015,2334492.0,536239.0,446316.0,272988.0,119528.0,65291.0,0.0,39.0,87.0,57.0,56.0,10.0,0.0,7.272876459936707e-05,0.00019492915333530503,0.00020880038683019034,0.00046850947058429824,0.0001531604662204592
BARMM,2016,2361351.0,558494.0,448025.0,282771.0,131270.0,71231.0,0.0,39.0,87.0,57.0,56.0,10.0,0.0,6.983065171693877e-05,0.00019418559232185705,0.00020157654073437516,0.000426601660699322,0.00014038831407673624
BARMM,2017,2388311.0,581424.0,449637.0,292818.0,143420.0,77381.0,0.0,40.0,88.0,60.0,54.0,10.0,0.0,6.879660970307383e-05,0.0001957134310566079,0.00020490543614122084,0.0003765165248919258,0.00012923068970419096
BARMM,2018,2415411.0,605103.0,451157.0,303157.0,156011.0,83748.0,0.0,32.0,64.0,47.0,48.0,10.0,0.0,5.288355866687159e-05,0.0001418574908513001,0.00015503517979132924,0.0003076706129695983,0.00011940583655729091
BARMM,2019,2442627.0,629550.0,452562.0,313804.0,169066.0,90348.0,0.0,28.0,65.0,43.0,52.0,13.0,0.0,4.447621316813597e-05,0.00014362672959727064,0.00013702820869077514,0.00030757219074207707,0.0001438880772125559
BARMM,2020,2469997.0,654844.0,453857.0,324787.0,182627.0,97204.0,0.0,27.0,63.0,46.0,52.0,13.0,0.0,4.123119399429482e-05,0.00013881024199252187,0.00014163128450338222,0.00028473336363188357,0.00013373935229002922
CAR,2010,874200.0,254300.0,188900.0,149400.0,87200.0,75300.0,0.0,2.0,204.0,222.0,158.0,112.0,0.0,7.86472670074715e-06,0.0010799364743250396,0.0014859437751004016,0.0018119266055045872,0.0014873837981407702
CAR,2011,877449.4,258701.19999999998,190853.8,151471.40000000002,91389.2,77601.8,0.0,2.0,209.0,218.0,158.0,117.0,0.0,7.730926644329444e-06,0.001095079060516479,0.0014392155878931597,0.0017288694944260373,0.001507696986410109
CAR,2012,880698.8,263102.4,192807.6,153542.8,95578.4,79903.59999999999,0.0,3.0,208.0,220.0,156.0,141.0,0.0,1.1402404539069198e-05,0.0010787956491341627,0.0014328252448177316,0.0016321679375256334,0.001764626374781612
CAR,2013,883948.2,267503.6,194761.4,155614.2,99767.6,82205.40000000001,0.0,3.0,208.0,218.0,157.0,140.0,0.0,1.1214802342846975e-05,0.0010679734279995933,0.0014009004319657202,0.0015736571792846574,0.0017030511377598063
CAR,2014,887197.6,271904.80000000005,196715.2,157685.59999999998,103956.8,84507.2,0.0,8.0,203.0,218.0,157.0,140.0,0.0,2.9422062427732055e-05,0.0010319487258737504,0.0013824978311272559,0.001510242716205193,0.0016566635742279949
CAR,2015,890447.0,276306.0,198669.0,159757.0,108146.0,86809.0,0.0,84.0,315.0,240.0,165.0,190.0,0.0,0.00030401077066730364,0.0015855518475454146,0.0015022815901650631,0.0015257152368094982,0.002188713151862134
CAR,2016,891599.0,281696.0,204829.0,161529.0,110454.0,89273.0,0.0,89.0,318.0,241.0,164.0,190.0,0.0,0.00031594342837668976,0.0015525145365158253,0.0014919921500164057,0.0014847809948032665,0.002128303070357219
CAR,2017,892113.0,287000.0,210961.0,163208.0,112725.0,91710.0,0.0,93.0,321.0,241.0,163.0,189.0,0.0,0.0003240418118466899,0.0015216082593465143,0.0014766433017989315,0.0014459968950986915,0.0020608439646712462
CAR,2018,892018.0,292221.0,217085.0,164804.0,114955.0,94127.0,0.0,87.0,189.0,109.0,83.0,108.0,0.0,0.0002977198763949203,0.0008706267130386715,0.0006613917137933545,0.0007220216606498195,0.0011473859785183847
CAR,2019,891322.0,297365.0,223185.0,166320.0,117157.0,96532.0,0.0,71.0,187.0,107.0,93.0,113.0,0.0,0.00023876380878718075,0.0008378699285346237,0.0006433381433381434,0.0007938066013981239,0.0011705962789541292
CAR,2020,890026.0,302431.0,229277.0,167759.0,119323.0,98922.0,0.0,63.0,187.0,112.0,91.0,118.0,0.0,0.00020831197860007736,0.0008156073221474461,0.0006676243897495813,0.0007626358707038878,0.0011928590202381674
I - Ilocos,2010,2425600.0,719800.0,595900.0,461700.0,308700.0,287200.0,0.0,2.0,180.0,423.0,424.0,226.0,0.0,2.7785495971103082e-06,0.0003020641047155563,0.0009161793372319688,0.001373501781665047,0.000786908077994429
I - Ilocos,2011,2425644.6,727181.4,603010.0,472030.80000000005,318988.4,296499.0,0.0,2.0,184.0,429.0,423.0,248.0,0.0,2.750345374620418e-06,0.0003051359015605048,0.0009088389994890163,0.0013260670293966802,0.0008364277788457971
I - Ilocos,2012,2425689.2,734562.8,610120.0,482361.6,329276.8,305798.0,0.0,3.0,177.0,428.0,419.0,252.0,0.0,4.0840619753682055e-06,0.00029010686422343147,0.0008873011450331039,0.0012724856412598762,0.0008240734079359577
I - Ilocos,2013,2425733.8,741944.2,617230.0,492692.4,339565.2,315097.0,0.0,3.0,177.0,435.0,417.0,278.0,0.0,4.04343075934821e-06,0.0002867650632665295,0.0008829038158494021,0.0012280410360072233,0.0008822680000126945
I - Ilocos,2014,2425778.4,749325.6,624340.0,503023.2,349853.6,324396.0,0.0,6.0,188.0,452.0,420.0,519.0,0.0,8.007200074306818e-06,0.0003011179805875004,0.0008985669050652137,0.0012005021529005275,0.0015998964228905411
I - Ilocos,2015,2425823.0,756707.0,631450.0,513354.0,360142.0,333695.0,1.0,56.0,300.0,479.0,443.0,547.0,4.122312303906757e-07,7.400486581992765e-05,0.0004750969989706232,0.0009330793175859153,0.00123007036113533,0.0016392214447324652
I - Ilocos,2016,2435747.0,766716.0,640520.0,520600.0,369089.0,343512.0,1.0,59.0,300.0,485.0,441.0,547.0,4.105516705963304e-07,7.695157007288227e-05,0.0004683694498220196,0.0009316173645793315,0.0011948337663815502,0.0015923752299774098
I - Ilocos,2017,2444074.0,776394.0,649314.0,527587.0,377926.0,353247.0,1.0,59.0,300.0,485.0,440.0,546.0,4.0915291435529365e-07,7.599234409333405e-05,0.00046202607675177186,0.0009192796638279563,0.0011642490857998655,0.0015456606850164333
I - Ilocos,2018,2450866.0,785767.0,657858.0,534338.0,386669.0,362912.0,1.0,53.0,190.0,234.0,254.0,371.0,4.080190430647779e-07,6.745002017137396e-05,0.00028881612749255916,0.000437925058670729,0.0006568925877171431,0.0010222863944978396
