Year,Region,Type,Sub-type,Total
2010,NATIONAL CAPITAL REGION (NCR),Age,<25,0
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2010,REGION I (ILOCOS REGION),Age,<25,0
2010,REGION II (CAGAYAN VALLEY),Age,<25,0
2010,REGION III (CENTRAL LUZON),Age,<25,0
2010,REGION IV-A (CALABARZON),Age,<25,1
2010,MIMAROPA REGION,Age,<25,0
2010,REGION V (BICOL REGION),Age,<25,0
2010,REGION VI (WESTERN VISAYAS),Age,<25,0
2010,REGION VII (CENTRAL VISAYAS),Age,<25,0
2010,REGION VIII (EASTERN VISAYAS),Age,<25,0
2010,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2010,REGION X (NORTHERN MINDANAO),Age,<25,0
2010,REGION XI (DAVAO REGION),Age,<25,0
2010,REGION XII (SOCCSKSARGEN),Age,<25,0
2010,REGION XIII (Caraga),Age,<25,0
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2010,NO INFO,Age,<25,0
2010,NATIONAL CAPITAL REGION (NCR),Age,25-34,5
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,2
2010,REGION I (ILOCOS REGION),Age,25-34,2
2010,REGION II (CAGAYAN VALLEY),Age,25-34,1
2010,REGION III (CENTRAL LUZON),Age,25-34,2
2010,REGION IV-A (CALABARZON),Age,25-34,15
2010,MIMAROPA REGION,Age,25-34,1
2010,REGION V (BICOL REGION),Age,25-34,0
2010,REGION VI (WESTERN VISAYAS),Age,25-34,2
2010,REGION VII (CENTRAL VISAYAS),Age,25-34,1
2010,REGION VIII (EASTERN VISAYAS),Age,25-34,0
2010,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,0
2010,REGION X (NORTHERN MINDANAO),Age,25-34,9
2010,REGION XI (DAVAO REGION),Age,25-34,0
2010,REGION XII (SOCCSKSARGEN),Age,25-34,1
2010,REGION XIII (Caraga),Age,25-34,4
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,0
2010,NO INFO,Age,25-34,0
2010,NATIONAL CAPITAL REGION (NCR),Age,35-44,689
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,204
2010,REGION I (ILOCOS REGION),Age,35-44,180
2010,REGION II (CAGAYAN VALLEY),Age,35-44,113
2010,REGION III (CENTRAL LUZON),Age,35-44,400
2010,REGION IV-A (CALABARZON),Age,35-44,398
2010,MIMAROPA REGION,Age,35-44,50
2010,REGION V (BICOL REGION),Age,35-44,57
2010,REGION VI (WESTERN VISAYAS),Age,35-44,138
2010,REGION VII (CENTRAL VISAYAS),Age,35-44,260
2010,REGION VIII (EASTERN VISAYAS),Age,35-44,128
2010,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,95
2010,REGION X (NORTHERN MINDANAO),Age,35-44,191
2010,REGION XI (DAVAO REGION),Age,35-44,23
2010,REGION XII (SOCCSKSARGEN),Age,35-44,106
2010,REGION XIII (Caraga),Age,35-44,87
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,16
2010,NO INFO,Age,35-44,0
2010,NATIONAL CAPITAL REGION (NCR),Age,45-54,549
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,222
2010,REGION I (ILOCOS REGION),Age,45-54,423
2010,REGION II (CAGAYAN VALLEY),Age,45-54,263
2010,REGION III (CENTRAL LUZON),Age,45-54,816
2010,REGION IV-A (CALABARZON),Age,45-54,732
2010,MIMAROPA REGION,Age,45-54,120
2010,REGION V (BICOL REGION),Age,45-54,205
2010,REGION VI (WESTERN VISAYAS),Age,45-54,210
2010,REGION VII (CENTRAL VISAYAS),Age,45-54,272
2010,REGION VIII (EASTERN VISAYAS),Age,45-54,149
2010,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,118
2010,REGION X (NORTHERN MINDANAO),Age,45-54,213
2010,REGION XI (DAVAO REGION),Age,45-54,77
2010,REGION XII (SOCCSKSARGEN),Age,45-54,252
2010,REGION XIII (Caraga),Age,45-54,109
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,15
2010,NO INFO,Age,45-54,0
2010,NATIONAL CAPITAL REGION (NCR),Age,55-64,441
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,158
2010,REGION I (ILOCOS REGION),Age,55-64,424
2010,REGION II (CAGAYAN VALLEY),Age,55-64,217
2010,REGION III (CENTRAL LUZON),Age,55-64,556
2010,REGION IV-A (CALABARZON),Age,55-64,551
2010,MIMAROPA REGION,Age,55-64,124
2010,REGION V (BICOL REGION),Age,55-64,242
2010,REGION VI (WESTERN VISAYAS),Age,55-64,176
2010,REGION VII (CENTRAL VISAYAS),Age,55-64,217
2010,REGION VIII (EASTERN VISAYAS),Age,55-64,181
2010,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,116
2010,REGION X (NORTHERN MINDANAO),Age,55-64,196
2010,REGION XI (DAVAO REGION),Age,55-64,81
2010,REGION XII (SOCCSKSARGEN),Age,55-64,242
2010,REGION XIII (Caraga),Age,55-64,108
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,20
2010,NO INFO,Age,55-64,0
2010,NATIONAL CAPITAL REGION (NCR),Age,65 and above,420
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,112
2010,REGION I (ILOCOS REGION),Age,65 and above,226
2010,REGION II (CAGAYAN VALLEY),Age,65 and above,131
2010,REGION III (CENTRAL LUZON),Age,65 and above,415
2010,REGION IV-A (CALABARZON),Age,65 and above,395
2010,MIMAROPA REGION,Age,65 and above,44
2010,REGION V (BICOL REGION),Age,65 and above,109
2010,REGION VI (WESTERN VISAYAS),Age,65 and above,84
2010,REGION VII (CENTRAL VISAYAS),Age,65 and above,263
2010,REGION VIII (EASTERN VISAYAS),Age,65 and above,229
2010,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,85
2010,REGION X (NORTHERN MINDANAO),Age,65 and above,219
2010,REGION XI (DAVAO REGION),Age,65 and above,44
2010,REGION XII (SOCCSKSARGEN),Age,65 and above,124
2010,REGION XIII (Caraga),Age,65 and above,82
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,9
2010,NO INFO,Age,65 and above,0
2010,NATIONAL CAPITAL REGION (NCR),Age,No info,768
2010,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,68
2010,REGION I (ILOCOS REGION),Age,No info,145
2010,REGION II (CAGAYAN VALLEY),Age,No info,24
2010,REGION III (CENTRAL LUZON),Age,No info,295
2010,REGION IV-A (CALABARZON),Age,No info,86
2010,MIMAROPA REGION,Age,No info,74
2010,REGION V (BICOL REGION),Age,No info,62
2010,REGION VI (WESTERN VISAYAS),Age,No info,18
2010,REGION VII (CENTRAL VISAYAS),Age,No info,48
2010,REGION VIII (EASTERN VISAYAS),Age,No info,13
2010,REGION IX (ZAMBOANGA PENINSULA),Age,No info,57
2010,REGION X (NORTHERN MINDANAO),Age,No info,1
2010,REGION XI (DAVAO REGION),Age,No info,67
2010,REGION XII (SOCCSKSARGEN),Age,No info,52
2010,REGION XIII (Caraga),Age,No info,33
2010,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,1
2010,NO INFO,Age,No info,0
2011,NATIONAL CAPITAL REGION (NCR),Age,<25,0
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2011,REGION I (ILOCOS REGION),Age,<25,0
2011,REGION II (CAGAYAN VALLEY),Age,<25,0
2011,REGION III (CENTRAL LUZON),Age,<25,0
2011,REGION IV-A (CALABARZON),Age,<25,1
2011,MIMAROPA REGION,Age,<25,0
2011,REGION V (BICOL REGION),Age,<25,0
2011,REGION VI (WESTERN VISAYAS),Age,<25,0
2011,REGION VII (CENTRAL VISAYAS),Age,<25,0
2011,REGION VIII (EASTERN VISAYAS),Age,<25,0
2011,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2011,REGION X (NORTHERN MINDANAO),Age,<25,0
2011,REGION XI (DAVAO REGION),Age,<25,0
2011,REGION XII (SOCCSKSARGEN),Age,<25,0
2011,REGION XIII (Caraga),Age,<25,0
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2011,NO INFO,Age,<25,0
2011,NATIONAL CAPITAL REGION (NCR),Age,25-34,22
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,2
2011,REGION I (ILOCOS REGION),Age,25-34,2
2011,REGION II (CAGAYAN VALLEY),Age,25-34,1
2011,REGION III (CENTRAL LUZON),Age,25-34,2
2011,REGION IV-A (CALABARZON),Age,25-34,20
2011,MIMAROPA REGION,Age,25-34,1
2011,REGION V (BICOL REGION),Age,25-34,0
2011,REGION VI (WESTERN VISAYAS),Age,25-34,7
2011,REGION VII (CENTRAL VISAYAS),Age,25-34,2
2011,REGION VIII (EASTERN VISAYAS),Age,25-34,0
2011,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,0
2011,REGION X (NORTHERN MINDANAO),Age,25-34,10
2011,REGION XI (DAVAO REGION),Age,25-34,6
2011,REGION XII (SOCCSKSARGEN),Age,25-34,1
2011,REGION XIII (Caraga),Age,25-34,2
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,0
2011,NO INFO,Age,25-34,0
2011,NATIONAL CAPITAL REGION (NCR),Age,35-44,881
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,209
2011,REGION I (ILOCOS REGION),Age,35-44,184
2011,REGION II (CAGAYAN VALLEY),Age,35-44,123
2011,REGION III (CENTRAL LUZON),Age,35-44,427
2011,REGION IV-A (CALABARZON),Age,35-44,409
2011,MIMAROPA REGION,Age,35-44,50
2011,REGION V (BICOL REGION),Age,35-44,86
2011,REGION VI (WESTERN VISAYAS),Age,35-44,238
2011,REGION VII (CENTRAL VISAYAS),Age,35-44,280
2011,REGION VIII (EASTERN VISAYAS),Age,35-44,130
2011,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,95
2011,REGION X (NORTHERN MINDANAO),Age,35-44,202
2011,REGION XI (DAVAO REGION),Age,35-44,85
2011,REGION XII (SOCCSKSARGEN),Age,35-44,104
2011,REGION XIII (Caraga),Age,35-44,95
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,16
2011,NO INFO,Age,35-44,0
2011,NATIONAL CAPITAL REGION (NCR),Age,45-54,723
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,218
2011,REGION I (ILOCOS REGION),Age,45-54,429
2011,REGION II (CAGAYAN VALLEY),Age,45-54,263
2011,REGION III (CENTRAL LUZON),Age,45-54,818
2011,REGION IV-A (CALABARZON),Age,45-54,736
2011,MIMAROPA REGION,Age,45-54,120
2011,REGION V (BICOL REGION),Age,45-54,230
2011,REGION VI (WESTERN VISAYAS),Age,45-54,292
2011,REGION VII (CENTRAL VISAYAS),Age,45-54,285
2011,REGION VIII (EASTERN VISAYAS),Age,45-54,150
2011,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,117
2011,REGION X (NORTHERN MINDANAO),Age,45-54,214
2011,REGION XI (DAVAO REGION),Age,45-54,179
2011,REGION XII (SOCCSKSARGEN),Age,45-54,252
2011,REGION XIII (Caraga),Age,45-54,106
2011,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,14
2011,NO INFO,Age,45-54,0
2011,NATIONAL CAPITAL REGION (NCR),Age,55-64,557
2011,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,158
2011,REGION I (ILOCOS REGION),Age,55-64,423
2011,REGION II (CAGAYAN VALLEY),Age,55-64,217
2011,REGION III (CENTRAL LUZON),Age,55-64,555
2011,REGION IV-A (CALABARZON),Age,55-64,555
2011,MIMAROPA REGION,Age,55-64,124
2011,REGION V (BICOL REGION),Age,55-64,263
2011,REGION VI (WESTERN VISAYAS),Age,55-64,257
2011,REGION VII (CENTRAL VISAYAS),Age,55-64,227
2011,REGION VIII (EASTERN VISAYAS),Age,55-64,180
2011,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,116
2011,REGION X (NORTHERN MINDANAO),Age,55-64,195
2011,REGION XI (DAVAO REGION),Age,55-64,154
2011,REGION XII (SOCCSKSARGEN),Age,55-64,241
2011,REGION XIII (Caraga),Age,55-64,108
