,Region,Year,Population
0,BARMM,2010,3264100.0
1,BARMM,2011,3366250.8000000003
2,BARMM,2012,3468401.6
3,BARMM,2013,3570552.3999999994
4,BARMM,2014,3672703.2
5,BARMM,2015,3774854.0
6,BARMM,2016,3853142.0
7,BARMM,2017,3932991.0
8,BARMM,2018,4014587.0
9,BARMM,2019,4097957.0
10,BARMM,2020,4183316.0
11,BARMM,2021,4270193.0
12,BARMM,2022,4358837.0
13,BARMM,2023,4449234.0
14,BARMM,2024,4541629.0
15,BARMM,2025,4635519.0
16,BARMM,2026,4758515.2
17,BARMM,2027,4881511.400000001
18,BARMM,2028,5004507.599999999
19,BARMM,2029,5127503.8
20,BARMM,2030,5250500.0
21,CAR,2010,1629300.0
22,CAR,2011,1647466.8000000003
23,CAR,2012,1665633.5999999999
24,CAR,2013,1683800.4000000001
25,CAR,2014,1701967.1999999997
26,CAR,2015,1720134.0
27,CAR,2016,1739380.0
28,CAR,2017,1757717.0
29,CAR,2018,1775210.0
30,CAR,2019,1791881.0
31,CAR,2020,1807738.0
32,CAR,2021,1822719.0
33,CAR,2022,1836857.0
34,CAR,2023,1850151.0
35,CAR,2024,1862660.0
36,CAR,2025,1874281.0
37,CAR,2026,1949304.7999999996
38,CAR,2027,2024328.5999999999
39,CAR,2028,2099352.4000000004
40,CAR,2029,2174376.2
41,CAR,2030,2249400.0
42,I - Ilocos,2010,4798900.0
43,I - Ilocos,2011,4843354.199999999
44,I - Ilocos,2012,4887808.400000001
45,I - Ilocos,2013,4932262.599999999
46,I - Ilocos,2014,4976716.800000001
47,I - Ilocos,2015,5021171.0
48,I - Ilocos,2016,5076184.0
49,I - Ilocos,2017,5128542.0
50,I - Ilocos,2018,5178410.0
51,I - Ilocos,2019,5225800.0
52,I - Ilocos,2020,5270807.0
53,I - Ilocos,2021,5313223.0
54,I - Ilocos,2022,5353139.0
55,I - Ilocos,2023,5390567.0
56,I - Ilocos,2024,5425606.0
57,I - Ilocos,2025,5458063.0
58,I - Ilocos,2026,5550970.4
59,I - Ilocos,2027,5643877.800000001
60,I - Ilocos,2028,5736785.199999999
61,I - Ilocos,2029,5829692.6
62,I - Ilocos,2030,5922600.0
63,II - Cagayan,2010,3240200.0
64,II - Cagayan,2011,3281653.6000000006
65,II - Cagayan,2012,3323107.2
66,II - Cagayan,2013,3364560.8
67,II - Cagayan,2014,3406014.3999999994
68,II - Cagayan,2015,3447468.0
69,II - Cagayan,2016,3493662.0
70,II - Cagayan,2017,3537703.0
71,II - Cagayan,2018,3579715.0
72,II - Cagayan,2019,3619689.0
73,II - Cagayan,2020,3657741.0
74,II - Cagayan,2021,3693664.0
75,II - Cagayan,2022,3727548.0
76,II - Cagayan,2023,3759424.0
77,II - Cagayan,2024,3789330.0
78,II - Cagayan,2025,3817144.0
79,II - Cagayan,2026,3877555.2
80,II - Cagayan,2027,3937966.3999999994
81,II - Cagayan,2028,3998377.6000000006
82,II - Cagayan,2029,4058788.8
83,II - Cagayan,2030,4119200.0
84,III - C. Luzon,2010,10238300.0
85,III - C. Luzon,2011,10430453.8
86,III - C. Luzon,2012,10622607.600000001
87,III - C. Luzon,2013,10814761.399999999
88,III - C. Luzon,2014,11006915.2
89,III - C. Luzon,2015,11199069.0
90,III - C. Luzon,2016,11437442.0
91,III - C. Luzon,2017,11667642.0
92,III - C. Luzon,2018,11890314.0
93,III - C. Luzon,2019,12105494.0
94,III - C. Luzon,2020,12313718.0
95,III - C. Luzon,2021,12513847.0
96,III - C. Luzon,2022,12706460.0
97,III - C. Luzon,2023,12891548.0
98,III - C. Luzon,2024,13069625.0
99,III - C. Luzon,2025,13239670.0
100,III - C. Luzon,2026,13241596.000000004
101,III - C. Luzon,2027,13243522.0
102,III - C. Luzon,2028,13245448.0
103,III - C. Luzon,2029,13247373.999999996
104,III - C. Luzon,2030,13249300.0
105,IVA - Calabarzon,2010,12762000.0
106,IVA - Calabarzon,2011,13087039.2
107,IVA - Calabarzon,2012,13412078.4
108,IVA - Calabarzon,2013,13737117.6
109,IVA - Calabarzon,2014,14062156.8
110,IVA - Calabarzon,2015,14387196.0
111,IVA - Calabarzon,2016,14741686.0
112,IVA - Calabarzon,2017,15085285.0
113,IVA - Calabarzon,2018,15418944.0
114,IVA - Calabarzon,2019,15742673.0
115,IVA - Calabarzon,2020,16057299.0
116,IVA - Calabarzon,2021,16361107.0
117,IVA - Calabarzon,2022,16654975.0
118,IVA - Calabarzon,2023,16938893.0
119,IVA - Calabarzon,2024,17213591.0
120,IVA - Calabarzon,2025,17477569.0
121,IVA - Calabarzon,2026,17534075.2
122,IVA - Calabarzon,2027,17590581.4
123,IVA - Calabarzon,2028,17647087.6
124,IVA - Calabarzon,2029,17703593.8
125,IVA - Calabarzon,2030,17760100.0
126,IX - Zamboanga,2010,3451200.0
127,IX - Zamboanga,2011,3486126.0
128,IX - Zamboanga,2012,3521051.9999999995
129,IX - Zamboanga,2013,3555978.0000000005
130,IX - Zamboanga,2014,3590904.0
131,IX - Zamboanga,2015,3625830.0
132,IX - Zamboanga,2016,3660328.0
133,IX - Zamboanga,2017,3693191.0
134,IX - Zamboanga,2018,3724550.0
135,IX - Zamboanga,2019,3754387.0
136,IX - Zamboanga,2020,3782761.0
137,IX - Zamboanga,2021,3809540.0
138,IX - Zamboanga,2022,3834801.0
139,IX - Zamboanga,2023,3858548.0
140,IX - Zamboanga,2024,3880826.0
141,IX - Zamboanga,2025,3901529.0
142,IX - Zamboanga,2026,4073823.200000001
143,IX - Zamboanga,2027,4246117.4
144,IX - Zamboanga,2028,4418411.6
145,IX - Zamboanga,2029,4590705.799999999
146,IX - Zamboanga,2030,4763000.0
147,MIMAROPA,2010,2780300.0
148,MIMAROPA,2011,2816138.2000000007
149,MIMAROPA,2012,2851976.4000000004
150,MIMAROPA,2013,2887814.5999999996
151,MIMAROPA,2014,2923652.8
152,MIMAROPA,2015,2959491.0
153,MIMAROPA,2016,3006430.0
154,MIMAROPA,2017,3051342.0
155,MIMAROPA,2018,3094357.0
156,MIMAROPA,2019,3135503.0
157,MIMAROPA,2020,3174859.0
158,MIMAROPA,2021,3212211.0
159,MIMAROPA,2022,3247680.0
160,MIMAROPA,2023,3281249.0
161,MIMAROPA,2024,3313035.0
162,MIMAROPA,2025,3342831.0
163,MIMAROPA,2026,3480644.7999999993
164,MIMAROPA,2027,3618458.599999999
165,MIMAROPA,2028,3756272.400000001
166,MIMAROPA,2029,3894086.2000000007
167,MIMAROPA,2030,4031900.0
168,NCR,2010,11890800.0
169,NCR,2011,12084482.2
170,NCR,2012,12278164.4
171,NCR,2013,12471846.6
172,NCR,2014,12665528.8
173,NCR,2015,12859211.0
174,NCR,2016,13066832.0
175,NCR,2017,13264805.0
176,NCR,2018,13453701.0
177,NCR,2019,13633497.0
178,NCR,2020,13804656.0
179,NCR,2021,13966223.0
180,NCR,2022,14118673.0
181,NCR,2023,14262006.0
182,NCR,2024,14396579.0
183,NCR,2025,14521657.0
184,NCR,2026,14440005.599999998
185,NCR,2027,14358354.200000001
186,NCR,2028,14276702.799999999
187,NCR,2029,14195051.400000002
188,NCR,2030,14113400.0
189,V - Bicol,2010,5488300.0
190,V - Bicol,2011,5548701.399999999
191,V - Bicol,2012,5609102.8
192,V - Bicol,2013,5669504.2
193,V - Bicol,2014,5729905.600000001
194,V - Bicol,2015,5790307.0
195,V - Bicol,2016,5865520.0
196,V - Bicol,2017,5937321.0
197,V - Bicol,2018,6005949.0
198,V - Bicol,2019,6071398.0
199,V - Bicol,2020,6133836.0
200,V - Bicol,2021,6192924.0
201,V - Bicol,2022,6248843.0
202,V - Bicol,2023,6301591.0
203,V - Bicol,2024,6351296.0
204,V - Bicol,2025,6397690.0
205,V - Bicol,2026,6708292.000000001
206,V - Bicol,2027,7018893.999999999
207,V - Bicol,2028,7329496.000000001
208,V - Bicol,2029,7640097.999999999
209,V - Bicol,2030,7950700.0
210,VI - W. Visayas,2010,7179000.0
211,VI - W. Visayas,2011,7248929.2
212,VI - W. Visayas,2012,7318858.400000001
213,VI - W. Visayas,2013,7388787.599999999
214,VI - W. Visayas,2014,7458716.8
215,VI - W. Visayas,2015,7528646.0
216,VI - W. Visayas,2016,7610389.0
217,VI - W. Visayas,2017,7688734.0
218,VI - W. Visayas,2018,7763898.0
219,VI - W. Visayas,2019,7835883.0
220,VI - W. Visayas,2020,7904899.0
221,VI - W. Visayas,2021,7970551.0
222,VI - W. Visayas,2022,8033041.0
223,VI - W. Visayas,2023,8092366.0
224,VI - W. Visayas,2024,8148694.0
225,VI - W. Visayas,2025,8201699.0
226,VI - W. Visayas,2026,8417879.2
227,VI - W. Visayas,2027,8634059.4
228,VI - W. Visayas,2028,8850239.600000001
229,VI - W. Visayas,2029,9066419.799999999
230,VI - W. Visayas,2030,9282600.0
231,VII - C. Visayas,2010,6843400.0
232,VII - C. Visayas,2011,6951988.8
233,VII - C. Visayas,2012,7060577.6000000015
234,VII - C. Visayas,2013,7169166.3999999985
235,VII - C. Visayas,2014,7277755.2
236,VII - C. Visayas,2015,7386344.0
237,VII - C. Visayas,2016,7511565.0
238,VII - C. Visayas,2017,7631003.0
239,VII - C. Visayas,2018,7745017.0
240,VII - C. Visayas,2019,7853606.0
241,VII - C. Visayas,2020,7957046.0
242,VII - C. Visayas,2021,8054772.0
243,VII - C. Visayas,2022,8147078.0
244,VII - C. Visayas,2023,8233965.0
245,VII - C. Visayas,2024,8315664.0
246,VII - C. Visayas,2025,8391707.0
247,VII - C. Visayas,2026,8549565.6
248,VII - C. Visayas,2027,8707424.2
249,VII - C. Visayas,2028,8865282.8
250,VII - C. Visayas,2029,9023141.4
251,VII - C. Visayas,2030,9181000.0
252,VIII - E. Visayas,2010,4149100.0
253,VIII - E. Visayas,2011,4206110.4
254,VIII - E. Visayas,2012,4263120.8
255,VIII - E. Visayas,2013,4320131.2
256,VIII - E. Visayas,2014,4377141.6
257,VIII - E. Visayas,2015,4434152.0
258,VIII - E. Visayas,2016,4495990.0
259,VIII - E. Visayas,2017,4557614.0
260,VIII - E. Visayas,2018,4619183.0
261,VIII - E. Visayas,2019,4680701.0
262,VIII - E. Visayas,2020,4742337.0
263,VIII - E. Visayas,2021,4803767.0
264,VIII - E. Visayas,2022,4865157.0
265,VIII - E. Visayas,2023,4926495.0
266,VIII - E. Visayas,2024,4987965.0
267,VIII - E. Visayas,2025,5049226.0
268,VIII - E. Visayas,2026,5216120.800000001
269,VIII - E. Visayas,2027,5383015.599999999
270,VIII - E. Visayas,2028,5549910.4
271,VIII - E. Visayas,2029,5716805.199999999
272,VIII - E. Visayas,2030,5883700.0
273,X - N. Mindanao,2010,4327200.0
274,X - N. Mindanao,2011,4398234.800000001
275,X - N. Mindanao,2012,4469269.599999999
276,X - N. Mindanao,2013,4540304.400000001
277,X - N. Mindanao,2014,4611339.2
278,X - N. Mindanao,2015,4682374.0
279,X - N. Mindanao,2016,4755673.0
280,X - N. Mindanao,2017,4825658.0
281,X - N. Mindanao,2018,4892512.0
282,X - N. Mindanao,2019,4956259.0
283,X - N. Mindanao,2020,5017051.0
284,X - N. Mindanao,2021,5074563.0
285,X - N. Mindanao,2022,5128964.0
286,X - N. Mindanao,2023,5180245.0
287,X - N. Mindanao,2024,5228550.0
288,X - N. Mindanao,2025,5273604.0
289,X - N. Mindanao,2026,5369103.2
290,X - N. Mindanao,2027,5464602.399999999
291,X - N. Mindanao,2028,5560101.600000001
292,X - N. Mindanao,2029,5655600.8
293,X - N. Mindanao,2030,5751100.0
294,XI - Davao,2010,4488200.0
295,XI - Davao,2011,4567721.6
296,XI - Davao,2012,4647243.2
297,XI - Davao,2013,4726764.8
298,XI - Davao,2014,4806286.4
299,XI - Davao,2015,4885808.0
300,XI - Davao,2016,4967320.0
301,XI - Davao,2017,5048419.0
302,XI - Davao,2018,5129342.0
303,XI - Davao,2019,5210081.0
304,XI - Davao,2020,5290869.0
305,XI - Davao,2021,5371254.0
306,XI - Davao,2022,5451448.0
307,XI - Davao,2023,5531465.0
308,XI - Davao,2024,5611525.0
309,XI - Davao,2025,5691183.0
310,XI - Davao,2026,5816346.399999999
311,XI - Davao,2027,5941509.8
312,XI - Davao,2028,6066673.2
313,XI - Davao,2029,6191836.600000001
314,XI - Davao,2030,6317000.0
315,XII - SOCCSKSARGEN,2010,4152900.0
316,XII - SOCCSKSARGEN,2011,4229835.6000000015
317,XII - SOCCSKSARGEN,2012,4306771.2
318,XII - SOCCSKSARGEN,2013,4383706.799999999
319,XII - SOCCSKSARGEN,2014,4460642.3999999985
320,XII - SOCCSKSARGEN,2015,4537578.0
321,XII - SOCCSKSARGEN,2016,4621162.0
322,XII - SOCCSKSARGEN,2017,4701027.0
323,XII - SOCCSKSARGEN,2018,4777419.0
324,XII - SOCCSKSARGEN,2019,4850329.0
325,XII - SOCCSKSARGEN,2020,4919936.0
326,XII - SOCCSKSARGEN,2021,4985878.0
327,XII - SOCCSKSARGEN,2022,5048327.0
328,XII - SOCCSKSARGEN,2023,5107296.0
329,XII - SOCCSKSARGEN,2024,5162940.0
330,XII - SOCCSKSARGEN,2025,5214931.0
331,XII - SOCCSKSARGEN,2026,5354704.800000001
332,XII - SOCCSKSARGEN,2027,5494478.600000001
333,XII - SOCCSKSARGEN,2028,5634252.399999999
334,XII - SOCCSKSARGEN,2029,5774026.2
335,XII - SOCCSKSARGEN,2030,5913800.0
336,XIII - Caraga,2010,2451900.0
337,XIII - Caraga,2011,2480267.6
338,XIII - Caraga,2012,2508635.1999999997
339,XIII - Caraga,2013,2537002.8000000003
340,XIII - Caraga,2014,2565370.4
341,XIII - Caraga,2015,2593738.0
342,XIII - Caraga,2016,2627491.0
343,XIII - Caraga,2017,2660236.0
344,XIII - Caraga,2018,2692072.0
345,XIII - Caraga,2019,2723012.0
346,XIII - Caraga,2020,2753109.0
347,XIII - Caraga,2021,2782218.0
348,XIII - Caraga,2022,2810426.0
349,XIII - Caraga,2023,2837738.0
350,XIII - Caraga,2024,2864204.0
351,XIII - Caraga,2025,2889689.0
352,XIII - Caraga,2026,3031391.1999999997
353,XIII - Caraga,2027,3173093.4000000004
354,XIII - Caraga,2028,3314795.5999999996
355,XIII - Caraga,2029,3456497.8000000003
356,XIII - Caraga,2030,3598200.0
