,year,Region,population,mortality_rate_100k,rGDP,proportion_under15,proportion_over60,life_expectancy,infant_death_rate_per100k,maternal_death_rate_per100k,population_density,WHO_PD,PD
0,2010,NCR,11855975,578.2653893922685,3053160348.0,28.98122918558886,5.75991522858007,71.01929399710096,1841.755958678799,88.1057268722467,19136.0,10,13.831397317607397
1,2011,NCR,12056622,568.0695543400207,3237138656.0,28.5974007227219,5.94083708443875,71.25929399710094,1821.8697537914973,66.25719988130612,19460.0,10,14.260809529618209
2,2012,NCR,12257269,571.2365267911954,3553088571.0,28.22568168251599,6.11605102795333,71.49929399710096,1838.911066665587,61.944824570637344,19784.0,10,14.684904115368742
3,2013,NCR,12457916,570.3200806465505,3890702252.0,27.86550790321619,6.28582298310179,71.73929399710096,1818.3609302783773,89.48141823943257,20108.0,10,15.103723973089991
4,2014,NCR,12658563,570.6413550643083,4215201150.0,27.51634973188012,6.450402607745829,71.97929399710097,1787.799913237895,88.01348149631261,20432.0,10,15.517322088981812
5,2015,NCR,12859211,579.5845483832562,4532443704.0,27.17770942556273,6.6100245186116,72.21929399710096,1644.3309199796345,81.97923767938352,20756.0,10,15.92575983459629
6,2016,NCR,13066832,588.046130844875,4928222539.0,27.03176255729009,7.041194070605631,72.4390607983051,1676.3967699694456,72.29375818419904,21091.0,10,16.13518402102476
7,2017,NCR,13264805,566.800642753512,5327124065.0,26.88572504458226,7.47092776712511,72.65882759950927,1543.5902151922016,89.6634173257311,21410.0,10,16.346070012771566
8,2018,NCR,13453701,556.9768497159257,5814440130.0,26.73921473355176,7.900443156868129,72.87859440071341,1611.557100764971,89.91520304697262,21715.0,10,16.558817729581023
9,2019,NCR,13633497,576.5138614106124,6294194685.0,26.592318903946648,8.32976308279526,73.09836120191756,1607.8350515463917,65.56701030927834,22005.0,10,16.77334518511589
10,2020,NCR,13804656,611.061948954034,5797058343.0,26.44465026872093,8.760102388643359,73.3181280031217,1436.820600961901,139.20927123695228,22282.0,10,16.990068824177786
11,2021,NCR,13632370,576.0,5983723621.6446,26.297066859092823,9.18911290475599,73.5181280031217,1693.5662073697,84.76641353113202,22004.0,10,17.20251769083619
12,2022,NCR,13775223,576.0,6360698209.808209,26.14918555022841,9.61801438421302,73.7181280031217,1693.5662073697,84.76641353113202,22234.0,10,17.416604844380863
13,2023,NCR,13913026,576.0,6803402805.210861,26.001040807302978,10.04680547743424,73.9181280031217,1693.5662073697,84.76641353113202,22457.0,10,17.63229912233225
14,2024,NCR,14045789,576.0,7261952154.282073,25.85223197816648,10.476725060863409,74.1181280031217,1693.5662073697,84.76641353113202,22671.0,10,17.850039072520197
15,2025,NCR,14174317,576.0,7731074263.448695,25.70358189840181,10.905449701779899,74.3181280031217,1693.5662073697,84.76641353113202,22878.0,10,18.0689424618066
16,2026,NCR,14304145,576.0,8231274768.293826,25.112655080964778,11.35069919917482,74.49789480432585,1693.5662073697,84.76641353113202,23088.0,10,18.770630534976288
17,2027,NCR,14435341,576.0,8766307628.232925,24.515007437273002,11.80101268152306,74.67766160553,1693.5662073697,84.76641353113202,23300.0,10,19.493280575599215
18,2028,NCR,14567786,576.0,9336117624.068066,23.910523653963008,12.25647703473942,74.85742840673414,1693.5662073697,84.76641353113202,23513.0,10,20.237451787619193
19,2029,NCR,14701475,576.0,9942965269.63249,23.29908576449395,12.71718114384566,75.0371952079383,1693.5662073697,84.76641353113202,23729.0,10,21.00372088869812
20,2030,NCR,14836527,576.0,10589258012.158602,22.68057307239928,13.18321595079853,75.21696200914243,1693.5662073697,84.76641353113202,23947.0,10,21.792682752044193
21,2010,CAR,1616867,398.3011589697854,189766817.0,32.06898668139692,6.85570490394648,68.49238299058896,818.3746005196977,47.78829784056629,81.0,10,10.484065872532616
22,2011,CAR,1637520,411.5979257418717,200486679.2,31.879780521222038,7.038102376327091,68.79238299058895,870.8619147032508,35.78884580972264,82.0,10,10.708137836638482
23,2012,CAR,1658173,444.6457904472981,201836502.1,31.694701643866928,7.216521088431451,69.09238299058896,894.1176470588235,47.05882352941177,83.0,10,10.931085472938141
24,2013,CAR,1678827,437.746064633692,219989237.9,31.513616459528098,7.391089822760461,69.39238299058897,906.1177953133908,63.00819106483843,84.0,10,11.15291556877933
25,2014,CAR,1699480,450.3728962837234,237096007.8,31.336397082152928,7.561931863316749,69.69238299058895,960.8529894926075,55.79146390602237,85.0,10,11.373636156701231
26,2015,CAR,1720134,459.7897605651653,243673957.8,31.16292102824547,7.7291652859602795,69.99238299058896,832.4425873740809,42.107990801023554,86.0,10,11.593256368479581
27,2016,CAR,1739380,478.8487851993239,255584787.4,30.884165622233212,7.8621692787085005,70.26297089013545,853.6793580331229,61.46491377838483,87.0,10,11.900897947181317
28,2017,CAR,1757717,465.14882657447134,280805810.2,30.60583700334013,7.994290320910589,70.53355878968193,724.458423154398,45.941265858571576,88.0,10,12.212186263275061
29,2018,CAR,1775210,483.0977743478237,308267122.3,30.32728522259338,8.12585553258487,70.80414668922845,872.1628953061155,41.20454623493459,89.0,10,12.527695535083524
30,2019,CAR,1791881,510.9156244192555,322106087.9,30.048089130918846,8.257635412173011,71.07473458877493,1186.8577218121293,110.96637236454865,90.0,10,12.847819894787063
31,2020,CAR,1807738,472.413590907532,296523326.6,29.76769863774507,8.389600705411949,71.34532248832141,800.3353786348565,87.65577956477,91.0,10,13.173092687992893
32,2021,CAR,1819164,455.0,306071377.71652,29.487814632974143,8.521006254941101,71.58532248832142,883.6601192184066,58.07059006843588,91.0,10,13.494313452599858
33,2022,CAR,1840023,455.0,325353874.51266074,29.20771731277938,8.65206164660613,71.82532248832142,883.6601192184066,58.07059006843588,92.0,10,13.819606610317893
34,2023,CAR,1860216,455.0,347998504.17874193,28.92715243242308,8.78322904454825,72.06532248832141,883.6601192184066,58.07059006843588,93.0,10,14.149224196886616
35,2024,CAR,1879713,455.0,371453603.3603891,28.64548548849495,8.914938850890659,72.30532248832142,883.6601192184066,58.07059006843588,94.0,10,14.483800211806072
36,2025,CAR,1898676,455.0,395449506.1374703,28.3643701237968,9.046135558115349,72.54532248832142,883.6601192184066,58.07059006843588,95.0,10,14.821742243113198
37,2026,CAR,1917845,455.0,421035089.1845646,27.84799996388456,9.26278948269147,72.74532248832142,883.6601192184066,58.07059006843588,96.0,10,15.388336061766376
38,2027,CAR,1937210,455.0,448402369.9815613,27.36990427344651,9.463384551302589,72.94532248832142,883.6601192184066,58.07059006843588,97.0,10,15.926430505656331
39,2028,CAR,1956783,455.0,477548524.0303628,26.925979649724358,9.64964243259016,73.14532248832141,883.6601192184066,58.07059006843588,98.0,10,16.438285609702973
40,2029,CAR,1976572,455.0,508589178.0923364,26.51268901857921,9.82304718015217,73.34532248832141,883.6601192184066,58.07059006843588,99.0,10,16.925956799044855
41,2030,CAR,1996562,455.0,541647474.6683382,26.126967191250998,9.9848848581844,73.54532248832142,883.6601192184066,58.07059006843588,100.0,10,17.39131171240005
42,2010,I - Ilocos,4748372,691.0789634847481,312628376.0,32.028173123007356,8.87495050949175,71.51576217086715,1497.7498116358156,95.70936933634717,366.0,10,11.19524591913441
43,2011,I - Ilocos,4802931,675.3999713258473,334384268.0,31.63831792438389,9.06933876527139,71.75576217086714,1520.4479530796775,77.56303324585356,370.0,10,11.587156222353748
44,2012,I - Ilocos,4857491,680.3923243017034,356651167.5,31.25555412523944,9.26019113187824,71.99576217086715,1455.8472553699285,70.51421132566718,374.0,10,11.979524612581972
45,2013,I - Ilocos,4912051,671.4709866431772,393993446.5,30.87968998244335,9.44760321561143,72.23576217086715,1444.1677413616758,57.81117979276915,378.0,10,12.372212475383153
46,2014,I - Ilocos,4966611,685.7794707183843,430678687.3,30.51054060379726,9.63166720678178,72.47576217086716,1362.0381643776384,67.13471319822946,383.0,10,12.765090746303626
47,2015,I - Ilocos,5021171,680.9168618236662,449373362.7,30.147927644766533,9.81247203092665,72.71576217086715,1361.344342094537,85.01123778691293,387.0,10,13.158039286418136
48,2016,I - Ilocos,5076184,702.6144048363889,490900560.2,29.96124647963903,9.98602493526633,72.93594634616878,1465.829744787485,83.93547916210495,391.0,10,13.386690307070443
