Year,Population,Actual,Supply_Forecast,Combined_Actual_and_Forecast,Final_Supply_per_10k
2010,93135100.0,16779.0,,16779.0,1.801576419631267
2011,94674754.2,18395.0,,18395.0,1.9429678117928508
2012,96214408.4,23776.0,,23776.0,2.471147554236793
2013,97754062.6,25437.0,,25437.0,2.602142491416004
2014,99293716.8,25865.0,,25865.0,2.6048979566449266
2015,100833371.0,34135.0,,34135.0,3.385287991611428
2016,102530196.0,35391.0,,35391.0,3.451763615081746
2017,104169230.0,37082.0,,37082.0,3.5597844008254644
2018,105755180.0,24791.0,,24791.0,2.3441877740645896
2019,107288150.0,24786.0,,24786.0,2.3102271779315795
2020,108771978.0,24786.0,,24786.0,2.2787118939769577
2021,110198654.0,,25680.0,25680.0,2.330336993045305
2022,111572254.0,,26581.0,26581.0,2.3824023488850554
2023,112892781.0,,27474.0,27474.0,2.4336365670715474
2024,114163719.0,,28369.0,28369.0,2.484940071022038
2025,115377992.0,,29250.0,29250.0,2.535145524113472
2026,117369893.60000001,,30242.0,30242.0,2.576640318263013
2027,119361795.2,,31230.0,31230.0,2.616415072148647
2028,121353696.8,,32219.0,32219.0,2.654966502841634
2029,123345598.4,,33209.0,33209.0,2.6923538764882267
2030,125337500.0,,34200.0,34200.0,2.728632691732323
