Year,Region,Population,Actual,Supply_Forecast,Combined_Actual_and_Forecast,Final_Supply_per_10k
2010,BARMM,3264100.0,61.0,,61.0,0.18688152936490915
2011,BARMM,3366250.8000000003,60.0,,60.0,0.17823983881414895
2012,BARMM,3468401.6,59.0,,59.0,0.17010717559350683
2013,BARMM,3570552.3999999994,61.0,,61.0,0.1708419123046619
2014,BARMM,3672703.2,68.0,,68.0,0.18514972840713073
2015,BARMM,3774854.0,249.0,,249.0,0.6596281604533578
2016,BARMM,3853142.0,249.0,,249.0,0.6462258593116994
2017,BARMM,3932991.0,252.0,,252.0,0.6407337316561366
2018,BARMM,4014587.0,201.0,,201.0,0.5006741664833768
2019,BARMM,4097957.0,201.0,,201.0,0.4904883091745472
2020,BARMM,4183316.0,201.0,,201.0,0.4804800784831937
2010,CAR,1629300.0,766.0,,766.0,4.701405511569385
2011,CAR,1647466.8000000003,772.0,,772.0,4.685982139366935
2012,CAR,1665633.5999999999,796.0,,796.0,4.778962191925043
2013,CAR,1683800.4000000001,793.0,,793.0,4.709584342657241
2014,CAR,1701967.1999999997,791.0,,791.0,4.647563125775868
2015,CAR,1720134.0,994.0,,994.0,5.778619572661199
2016,CAR,1739380.0,1002.0,,1002.0,5.760673343375226
2017,CAR,1757717.0,1007.0,,1007.0,5.729022362530487
2018,CAR,1775210.0,576.0,,576.0,3.2446865441271737
2019,CAR,1791881.0,571.0,,571.0,3.186595538431402
2020,CAR,1807738.0,571.0,,571.0,3.158643564498838
2010,I - Ilocos,4798900.0,1400.0,,1400.0,2.9173352226551916
2011,I - Ilocos,4843354.199999999,1431.0,,1431.0,2.9545640085542377
2012,I - Ilocos,4887808.400000001,1423.0,,1423.0,2.9113252475281146
2013,I - Ilocos,4932262.599999999,1453.0,,1453.0,2.9459096520935453
2014,I - Ilocos,4976716.800000001,1714.0,,1714.0,3.444037643452004
2015,I - Ilocos,5021171.0,1826.0,,1826.0,3.6366019002340293
2016,I - Ilocos,5076184.0,1833.0,,1833.0,3.610980216635173
2017,I - Ilocos,5128542.0,1831.0,,1831.0,3.5702154725456086
2018,I - Ilocos,5178410.0,1103.0,,1103.0,2.129997431644076
2019,I - Ilocos,5225800.0,1103.0,,1103.0,2.1106816181254544
2020,I - Ilocos,5270807.0,1103.0,,1103.0,2.092658676365877
2010,II - Cagayan,3240200.0,749.0,,749.0,2.3115857045861365
2011,II - Cagayan,3281653.6000000006,765.0,,765.0,2.331141836542406
2012,II - Cagayan,3323107.2,779.0,,779.0,2.344191604772786
2013,II - Cagayan,3364560.8,805.0,,805.0,2.392585683100154
2014,II - Cagayan,3406014.3999999994,812.0,,812.0,2.3840181063239196
2015,II - Cagayan,3447468.0,1068.0,,1068.0,3.097925782052219
2016,II - Cagayan,3493662.0,1066.0,,1066.0,3.051239644819676
2017,II - Cagayan,3537703.0,1063.0,,1063.0,3.0047745670001125
2018,II - Cagayan,3579715.0,615.0,,615.0,1.7180138642322083
2019,II - Cagayan,3619689.0,615.0,,615.0,1.6990409949584067
2020,II - Cagayan,3657741.0,615.0,,615.0,1.6813656297698498
2010,III - C. Luzon,10238300.0,2484.0,,2484.0,2.4261840344588457
2011,III - C. Luzon,10430453.8,2505.0,,2505.0,2.401621298586261
