,Year,Region,Average Historical Proportions,Proportions of Historical Averages
0,2021,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
1,2022,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
2,2023,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
3,2024,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
4,2025,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
5,2026,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
6,2027,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
7,2028,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
8,2029,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
9,2030,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),144.06748974348105,151.0909090909091
10,2021,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
11,2022,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
12,2023,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
13,2024,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
14,2025,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
15,2026,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
16,2027,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
17,2028,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
18,2029,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
19,2030,CORDILLERA ADMINISTRATIVE REGION (CAR),810.4974792467668,785.3636363636364
20,2021,MIMAROPA REGION,399.16342753884953,377.8181818181818
21,2022,MIMAROPA REGION,399.16342753884953,377.8181818181818
22,2023,MIMAROPA REGION,399.16342753884953,377.8181818181818
23,2024,MIMAROPA REGION,399.16342753884953,377.8181818181818
24,2025,MIMAROPA REGION,399.16342753884953,377.8181818181818
25,2026,MIMAROPA REGION,399.16342753884953,377.8181818181818
26,2027,MIMAROPA REGION,399.16342753884953,377.8181818181818
27,2028,MIMAROPA REGION,399.16342753884953,377.8181818181818
28,2029,MIMAROPA REGION,399.16342753884953,377.8181818181818
29,2030,MIMAROPA REGION,399.16342753884953,377.8181818181818
30,2021,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
31,2022,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
32,2023,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
33,2024,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
34,2025,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
35,2026,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
36,2027,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
37,2028,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
38,2029,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
39,2030,NATIONAL CAPITAL REGION (NCR),8788.633631855859,9027.181818181818
40,2021,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
41,2022,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
42,2023,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
43,2024,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
44,2025,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
45,2026,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
46,2027,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
47,2028,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
48,2029,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
49,2030,REGION I (ILOCOS REGION),1522.6068082893066,1474.5454545454545
50,2021,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
51,2022,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
52,2023,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
53,2024,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
54,2025,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
55,2026,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
56,2027,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
57,2028,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
58,2029,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
59,2030,REGION II (CAGAYAN VALLEY),834.0477624012078,813.8181818181819
60,2021,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
61,2022,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
62,2023,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
63,2024,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
64,2025,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
65,2026,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
66,2027,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
67,2028,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
68,2029,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
69,2030,REGION III (CENTRAL LUZON),2896.0146918083815,2843.3636363636365
70,2021,REGION IV-A (CALABARZON),2759.3453823951727,2744.4545454545455
71,2022,REGION IV-A (CALABARZON),2759.3453823951727,2744.4545454545455
72,2023,REGION IV-A (CALABARZON),2759.3453823951727,2744.4545454545455
73,2024,REGION IV-A (CALABARZON),2759.3453823951727,2744.4545454545455
74,2025,REGION IV-A (CALABARZON),2759.3453823951727,2744.4545454545455
