,year,Region,Age,population
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,466700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,454000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,389200.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,269500.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,229600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,228600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,203000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,174400.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,137700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,465700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,89600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,62100.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,40500.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,26000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,14800.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,5700.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,480600.4
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,462938.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,395500.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,280705.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,241336.2
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,232471.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,211318.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,179865.2
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,142810.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,483233.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,93626.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,64253.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,41732.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,26764.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,15346.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7494.4
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,6253.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,494500.8
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,471877.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,401801.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,291911.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,253072.4
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,236343.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,219636.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,185330.4
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,147921.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,500766.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,97653.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,66406.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,42965.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,27529.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,15892.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7988.8
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,6806.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,508401.2
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,480815.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,408102.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,303116.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,264808.6
