,year,Region,under15_population,total_population,over60_population,proportion_under15,proportion_over60
0,2010,BARMM,1386400.0,3264100.0,94000.0,0.4247418890352624,0.028798137311969608
1,2011,BARMM,1426772.0,3366250.8,97590.8,0.4238460188409016,0.02899094743623975
2,2012,BARMM,1467144.0,3468401.6,101181.6,0.4230029186931525,0.029172400335647407
3,2013,BARMM,1507516.0,3570552.4,104772.4,0.4222080594588109,0.029343470774998288
4,2014,BARMM,1547888.0,3672703.2,108363.2,0.42145741588920116,0.02950502507254057
5,2015,BARMM,1588260.0,3774854.0,111954.0,0.4207473984424298,0.0296578357732511
6,2016,BARMM,1601834.0,3853142.0,123241.0,0.41572150727899465,0.03198454663752335
7,2017,BARMM,1615286.0,3932991.0,134926.0,0.4107016771713945,0.034306206141839636
8,2018,BARMM,1628624.0,4014587.0,147034.0,0.405676598863096,0.0366249380073218
9,2019,BARMM,1641828.0,4097957.0,159589.0,0.4006454923758351,0.03894355162828697
10,2020,BARMM,1654901.0,4183316.0,172634.0,0.3955955036626447,0.0412672626213272
11,2021,BARMM,1667746.0,4270193.0,186116.0,0.39055518099533204,0.04358491524856137
12,2022,BARMM,1680381.0,4358837.0,200075.0,0.38551131873020256,0.04590100524520646
13,2023,BARMM,1692772.0,4449234.0,214532.0,0.3804636933009143,0.04821773815447783
14,2024,BARMM,1704922.0,4541629.0,229539.0,0.3753987831238527,0.05054111641439669
15,2025,BARMM,1716748.0,4635519.0,245017.0,0.37034644880109435,0.052856433120002315
16,2026,BARMM,1742078.4,4758515.2,264493.6,0.36609705481239185,0.055583220581075364
17,2027,BARMM,1767408.8,4881511.4,283970.2,0.36206179913868475,0.05817259793759777
18,2028,BARMM,1792739.2,5004507.6,303446.8,0.35822489309437755,0.06063469660831367
19,2029,BARMM,1818069.6,5127503.8,322923.4,0.354572062920753,0.06297867590073751
20,2030,BARMM,1843400.0,5250500.0,342400.0,0.3510903723454909,0.06521283687267879
21,2010,CAR,522500.0,1629300.0,111700.0,0.3206898668139692,0.0685570490394648
22,2011,CAR,525208.8,1647466.8,115950.4,0.3187978052122204,0.07038102376327098
23,2012,CAR,527917.6,1665633.6,120200.8,0.3169470164386693,0.07216521088431453
24,2013,CAR,530626.4,1683800.4,124451.2,0.31513616459528104,0.07391089822760465
25,2014,CAR,533335.2,1701967.2,128701.6,0.31336397082152934,0.07561931863316755
