,year,NCR,CAR,I - Ilocos,II - Cagayan,III - C. Luzon,IVA - Calabarzon,MIMAROPA,V - Bicol,VI - W. Visayas,VII - C. Visayas,VIII - E. Visayas,IX - Zamboanga,X - N. Mindanao,XI - Davao,XII - SOCCSKSARGEN,XIII - Caraga,BARMM
0,2010,71.01929399710096,68.49238299058896,71.51576217086715,69.24002518185765,70.82947272001857,70.70077535067087,69.16648762553994,68.55421247663561,69.68845901586491,70.01724230645081,67.37296812458713,67.34247911102193,67.94086262402973,67.71024279104026,68.3240517565701,66.53990590521853,59.936557079323656
1,2011,71.25929399710094,68.79238299058895,71.75576217086714,69.54002518185763,71.06947272001855,70.9708135827915,69.46648762553994,68.85421247663561,69.95893772469589,70.28761455296842,67.7243946407985,67.6934220354201,68.24086262402972,68.05896639922301,68.62405175657011,66.93990590521854,60.43655707932366
2,2012,71.49929399710096,69.09238299058896,71.99576217086715,69.84002518185764,71.30947272001858,71.24085181491212,69.76648762553992,69.1542124766356,70.22941643352686,70.55798679948602,68.07582115700984,68.04436495981827,68.54086262402973,68.40769000740576,68.9240517565701,67.33990590521853,60.93655707932366
3,2013,71.73929399710096,69.39238299058897,72.23576217086715,70.14002518185765,71.54947272001857,71.51089004703275,70.06648762553995,69.45421247663562,70.49989514235784,70.82835904600361,68.42724767322119,68.39530788421644,68.84086262402974,68.75641361558853,69.2240517565701,67.73990590521854,61.43655707932366
4,2014,71.97929399710097,69.69238299058895,72.47576217086716,70.44002518185764,71.78947272001858,71.78092827915339,70.36648762553995,69.75421247663562,70.77037385118882,71.09873129252124,68.77867418943254,68.7462508086146,69.14086262402972,69.10513722377127,69.52405175657012,68.13990590521853,61.93655707932366
5,2015,72.21929399710096,69.99238299058896,72.71576217086715,70.74002518185765,72.02947272001857,72.050966511274,70.66648762553994,70.05421247663561,71.0408525600198,71.36910353903883,69.13010070564388,69.09719373301277,69.44086262402973,69.45386083195403,69.8240517565701,68.53990590521853,62.43655707932366
6,2016,72.4390607983051,70.26297089013545,72.93594634616878,70.98002518185763,72.24968514022773,72.27099199935441,70.90648762553994,70.29421247663561,71.2808525600198,71.60910353903883,69.43010070564388,69.39719373301278,69.74086262402973,69.75386083195403,70.1240517565701,68.83990590521853,62.91661999161957
7,2017,72.65882759950927,70.53355878968193,73.1561305214704,71.22002518185764,72.46989756043689,72.49101748743485,71.14648762553993,70.53421247663562,71.52085256001979,71.84910353903884,69.73010070564388,69.69719373301277,70.04086262402973,70.05386083195404,70.4240517565701,69.13990590521853,63.396682903915476
8,2018,72.87859440071341,70.80414668922845,73.37631469677203,71.46002518185765,72.69010998064604,72.71104297551526,71.38648762553994,70.77421247663561,71.7608525600198,72.08910353903883,70.03010070564389,69.99719373301278,70.34086262402974,70.35386083195404,70.7240517565701,69.43990590521854,63.876745816211375
9,2019,73.09836120191756,71.07473458877493,73.59649887207365,71.70002518185765,72.9103224008552,72.93106846359566,71.62648762553994,71.01421247663562,72.00085256001981,72.32910353903884,70.33010070564389,70.29719373301279,70.64086262402974,70.65386083195403,71.0240517565701,69.73990590521854,64.35680872850727
