,year,Region,maternal_death_rate_per100k
0,2010,BARMM,13.211784912141631
1,2011,BARMM,51.98180636777128
2,2012,BARMM,67.254520998356
3,2013,BARMM,38.449707782220855
4,2014,BARMM,67.64526821348846
5,2015,BARMM,128.51731601731603
6,2016,BARMM,35.40734541474877
7,2017,BARMM,53.21830709764159
8,2018,BARMM,39.36749557115675
9,2019,BARMM,62.00589055960316
10,2020,BARMM,119.22294691072304
11,2021,BARMM,61.4802172586516
12,2022,BARMM,61.4802172586516
13,2023,BARMM,61.4802172586516
14,2024,BARMM,61.4802172586516
15,2025,BARMM,61.4802172586516
16,2026,BARMM,61.4802172586516
17,2027,BARMM,61.4802172586516
18,2028,BARMM,61.4802172586516
19,2029,BARMM,61.4802172586516
20,2030,BARMM,61.4802172586516
21,2010,CAR,47.788297840566294
22,2011,CAR,35.78884580972264
23,2012,CAR,47.05882352941177
24,2013,CAR,63.00819106483843
25,2014,CAR,55.79146390602237
26,2015,CAR,42.107990801023554
27,2016,CAR,61.46491377838483
28,2017,CAR,45.941265858571576
29,2018,CAR,41.20454623493459
30,2019,CAR,110.96637236454865
31,2020,CAR,87.65577956477
32,2021,CAR,58.07059006843588
33,2022,CAR,58.07059006843588
34,2023,CAR,58.07059006843588
35,2024,CAR,58.07059006843588
36,2025,CAR,58.07059006843588
37,2026,CAR,58.07059006843588
38,2027,CAR,58.07059006843588
39,2028,CAR,58.07059006843588
40,2029,CAR,58.07059006843588
41,2030,CAR,58.07059006843588
42,2010,I - Ilocos,95.70936933634715
43,2011,I - Ilocos,77.56303324585356
44,2012,I - Ilocos,70.51421132566718
45,2013,I - Ilocos,57.81117979276915
46,2014,I - Ilocos,67.13471319822946
47,2015,I - Ilocos,85.01123778691293
48,2016,I - Ilocos,83.93547916210495
49,2017,I - Ilocos,81.41078630294832
50,2018,I - Ilocos,74.12320056177585
51,2019,I - Ilocos,65.78254920534681
52,2020,I - Ilocos,100.54236232068766
53,2021,I - Ilocos,78.1398292944221
54,2022,I - Ilocos,78.1398292944221
55,2023,I - Ilocos,78.1398292944221
56,2024,I - Ilocos,78.1398292944221
57,2025,I - Ilocos,78.1398292944221
58,2026,I - Ilocos,78.1398292944221
59,2027,I - Ilocos,78.1398292944221
60,2028,I - Ilocos,78.1398292944221
