,Region,Year,Gross Regional Domestic Product,GDP_log
170,NCR,2010,3053160348.0,21.839443070774255
171,CAR,2010,189766817.0,19.061306597453836
172,I - Ilocos,2010,312628376.0,19.560525745984197
173,II - Cagayan,2010,192880303.9,19.07758036742699
174,III - C. Luzon,2010,979287699.5,20.70233602810974
175,IVA - Calabarzon,2010,1486403920.0,21.11962556326472
176,MIMAROPA,2010,191713018.4,19.07151011598655
177,V - Bicol,2010,246110917.8,19.32129287764423
178,VI - W. Visayas,2010,433178888.3,19.886661337600692
179,VII - C. Visayas,2010,539482115.1,20.106120191232517
180,VIII - E. Visayas,2010,254164653.8,19.35349285827096
181,IX - Zamboanga,2010,195081265.5,19.088926775867307
182,X - N. Mindanao,2010,394980142.1,19.794346048437102
183,XI - Davao,2010,403461236.6,19.815590973153636
184,XII - SOCCSKSARGEN,2010,252178035.7,19.34564588690152
185,XIII - Caraga,2010,143337551.6,18.78071290731817
186,BARMM,2010,131635468.3,18.695547056500036
187,NCR,2011,3237138656.0,21.897955645696648
188,CAR,2011,200486679.2,19.116258364598565
189,I - Ilocos,2011,334384268.0,19.627801392613602
190,II - Cagayan,2011,213085202.1,19.17720265355024
191,III - C. Luzon,2011,1096258667.0,20.815169007662742
192,IVA - Calabarzon,2011,1582459854.0,21.182246342940434
193,MIMAROPA,2011,212158911.3,19.172846133444082
194,V - Bicol,2011,266892593.7,19.40235686464541
195,VI - W. Visayas,2011,477427428.3,19.98392272371673
196,VII - C. Visayas,2011,592227841.6,20.19940198637332
197,VIII - E. Visayas,2011,272677861.1,19.423801660435135
198,IX - Zamboanga,2011,210255380.9,19.163833449355476
199,X - N. Mindanao,2011,436363851.6,19.893986975311766
200,XI - Davao,2011,437559437.1,19.896723110762892
201,XII - SOCCSKSARGEN,2011,277035863.2,19.439657525807192
202,XIII - Caraga,2011,156504793.5,18.868597196868382
203,BARMM,2011,141744037.3,18.769533434784385
204,NCR,2012,3553088571.0,21.991083082185707
205,CAR,2012,201836502.1,19.122968532083494
206,I - Ilocos,2012,356651167.5,19.69226874020042
207,II - Cagayan,2012,234724620.4,19.273923556895948
208,III - C. Luzon,2012,1206580595.0,20.91105624146137
209,IVA - Calabarzon,2012,1721867470.0,21.266675277156246
210,MIMAROPA,2012,231318001.5,19.259303951670024
211,V - Bicol,2012,298247874.3,19.513435491674656
212,VI - W. Visayas,2012,527279962.3,20.08324220320972
213,VII - C. Visayas,2012,674544563.5,20.329548300369584
214,VIII - E. Visayas,2012,265041353.0,19.395396420832714
215,IX - Zamboanga,2012,236734323.2,19.282449071153774
216,X - N. Mindanao,2012,472652725.7,19.973871481665544
217,XI - Davao,2012,454315711.2,19.934302913446633
218,XII - SOCCSKSARGEN,2012,291093119.9,19.489153773603153
219,XIII - Caraga,2012,180393968.3,19.010653729889707
220,BARMM,2012,154218300.7,18.85387969363376
221,NCR,2013,3890702252.0,22.081855505790063
222,CAR,2013,219989237.9,19.209089184483716
223,I - Ilocos,2013,393993446.5,19.791844833875142
224,II - Cagayan,2013,268304482.4,19.407633021927936
225,III - C. Luzon,2013,1306617621.0,20.99070766642724
226,IVA - Calabarzon,2013,1847878662.0,21.33730414891934
227,MIMAROPA,2013,242953220.3,19.30837947371908
228,V - Bicol,2013,332295863.1,19.621536283954523
229,VI - W. Visayas,2013,566792962.0,20.15550464862537
230,VII - C. Visayas,2013,746139449.4,20.430423070189512
231,VIII - E. Visayas,2013,292195739.8,19.492934477434684
232,IX - Zamboanga,2013,253224354.2,19.34978642923277
233,X - N. Mindanao,2013,509881162.5,20.04968824182462
234,XI - Davao,2013,495294298.3,20.02066268588308
235,XII - SOCCSKSARGEN,2013,324370805.4,19.597397880471338
236,XIII - Caraga,2013,194874139.4,19.087864469168256
237,BARMM,2013,165084288.2,18.921966739007516
238,NCR,2014,4215201150.0,22.16196314968148
239,CAR,2014,237096007.8,19.28397571327262
240,I - Ilocos,2014,430678687.3,19.880872864936496
241,II - Cagayan,2014,304061089.7,19.53273919214268
242,III - C. Luzon,2014,1461916690.0,21.103014213066242
243,IVA - Calabarzon,2014,2006907506.0,21.419860819998583
244,MIMAROPA,2014,276139956.3,19.436418383199207
245,V - Bicol,2014,366663555.5,19.719955243046627
246,VI - W. Visayas,2014,615916323.5,20.238621673796885
247,VII - C. Visayas,2014,829547258.1,20.536390637762178
248,VIII - E. Visayas,2014,305697115.2,19.538105350113888
249,IX - Zamboanga,2014,276633110.1,19.438202673935546
250,X - N. Mindanao,2014,569991316.8,20.161131684992625
251,XI - Davao,2014,555456044.0,20.135300035200245
252,XII - SOCCSKSARGEN,2014,352653226.9,19.680995772009037
253,XIII - Caraga,2014,223865239.5,19.22655481940478
254,BARMM,2014,178403975.0,18.99956105925209
255,NCR,2015,4532443704.0,22.23452707999767
256,CAR,2015,243673957.8,19.311341651170093
257,I - Ilocos,2015,449373362.7,19.923364642928078
258,II - Cagayan,2015,303113509.4,19.52961791180351
259,III - C. Luzon,2015,1511232438.0,21.13619133898208
260,IVA - Calabarzon,2015,2076801161.0,21.454094643507016
261,MIMAROPA,2015,274605684.3,19.43084675137523
262,V - Bicol,2015,395256950.6,19.79504661922498
263,VI - W. Visayas,2015,667996260.9,20.319793134030164
264,VII - C. Visayas,2015,889023020.5,20.60563368796856
265,VIII - E. Visayas,2015,324929356.6,19.599118352359273
266,IX - Zamboanga,2015,300939935.4,19.522421252634253
267,X - N. Mindanao,2015,609017243.3,20.227357139394844
268,XI - Davao,2015,602911848.8,20.217281556276966
269,XII - SOCCSKSARGEN,2015,354753545.5,19.68693386831671
270,XIII - Caraga,2015,235177755.2,19.27585219128465
271,BARMM,2015,172907712.7,18.968268557524436
272,NCR,2016,4928222539.0,22.318244220234334
273,CAR,2016,255584787.4,19.35906476148204
274,I - Ilocos,2016,490900560.2,20.01175214019691
275,II - Cagayan,2016,323458415.7,19.5945811186658
276,III - C. Luzon,2016,1640708336.0,21.218393897730415
277,IVA - Calabarzon,2016,2206254090.0,21.514561932468524
278,MIMAROPA,2016,287300274.0,19.47603847765599
279,V - Bicol,2016,431762418.8,19.88338603844537
280,VI - W. Visayas,2016,720566796.9,20.39554867819754
281,VII - C. Visayas,2016,977480105.6,20.700488497289317
282,VIII - E. Visayas,2016,376587299.0,19.74666044818048
283,IX - Zamboanga,2016,322282583.1,19.590939305921204
284,X - N. Mindanao,2016,679435851.0,20.33677338091791
285,XI - Davao,2016,674076172.3,20.328853677772734
286,XII - SOCCSKSARGEN,2016,381711706.2,19.76017618583308
287,XIII - Caraga,2016,251476877.7,19.342861605702996
288,BARMM,2016,184572657.7,19.03355375259466
289,NCR,2017,5327124065.0,22.39607735445426
290,CAR,2017,280805810.2,19.453173921497303
291,I - Ilocos,2017,527801491.3,20.08423080753159
292,II - Cagayan,2017,358686602.1,19.697959590536467
293,III - C. Luzon,2017,1860323671.0,21.344016326199043
294,IVA - Calabarzon,2017,2423069480.0,21.608300953565713
295,MIMAROPA,2017,321948705.4,19.58990279081909
296,V - Bicol,2017,465966050.3,19.959623336002505
297,VI - W. Visayas,2017,791281768.5,20.489164680379712
298,VII - C. Visayas,2017,1067272679.0,20.78837233331801
299,VIII - E. Visayas,2017,397386688.3,19.80042039054058
300,IX - Zamboanga,2017,344667606.7,19.65809105173026
301,X - N. Mindanao,2017,737898187.4,20.419316415595166
302,XI - Davao,2017,748538551.1,20.433633264973267
303,XII - SOCCSKSARGEN,2017,420127877.2,19.856069692424057
304,XIII - Caraga,2017,273088164.3,19.425305247167195
305,BARMM,2017,210663684.9,19.165773509387158
306,NCR,2018,5814440130.0,22.483610337972248
307,CAR,2018,308267122.3,19.546477245262494
308,I - Ilocos,2018,587597250.7,20.191552323389878
309,II - Cagayan,2018,385061270.6,19.768913024005514
310,III - C. Luzon,2018,2062393875.0,21.447133220303826
311,IVA - Calabarzon,2018,2706994745.0,21.7191049063133
312,MIMAROPA,2018,370744808.0,19.731024534838404
313,V - Bicol,2018,522014834.7,20.07320656440862
314,VI - W. Visayas,2018,860107768.3,20.57256825133768
315,VII - C. Visayas,2018,1180945761.0,20.889581446773374
316,VIII - E. Visayas,2018,444384028.8,19.912199676290054
317,IX - Zamboanga,2018,379428020.3,19.75417546698164
318,X - N. Mindanao,2018,821122014.5,20.526182273304872
319,XI - Davao,2018,841429225.0,20.55061246229453
320,XII - SOCCSKSARGEN,2018,454304548.7,19.934278343226282
321,XIII - Caraga,2018,290561794.2,19.487326828330605
322,BARMM,2018,235393060.3,19.2767672718971
323,NCR,2019,6294194685.0,22.562893566950095
324,CAR,2019,322106087.9,19.590391514774783
325,I - Ilocos,2019,630300658.4,20.261707499064737
326,II - Cagayan,2019,399370781.2,19.805400819534803
327,III - C. Luzon,2019,2184815143.0,21.504797059168954
328,IVA - Calabarzon,2019,2865792547.0,21.776110779573425
329,MIMAROPA,2019,375589553.0,19.744007490747556
330,V - Bicol,2019,560835429.2,20.144938067866015
331,VI - W. Visayas,2019,919163054.7,20.63897409080595
332,VII - C. Visayas,2019,1270612311.0,20.962764755873017
333,VIII - E. Visayas,2019,455533642.6,19.936980130553778
334,IX - Zamboanga,2019,399109396.7,19.804746114467424
335,X - N. Mindanao,2019,885223985.4,20.601351261797575
336,XI - Davao,2019,922613762.6,20.642721246167284
337,XII - SOCCSKSARGEN,2019,474892618.0,19.978599269073413
338,XIII - Caraga,2019,302930146.4,19.529012796961233
339,BARMM,2019,254779370.3,19.355908514098783
340,NCR,2020,5797058343.0,22.480616443596986
341,CAR,2020,296523326.6,19.507636446494665
342,I - Ilocos,2020,597981618.1,20.209070572479245
343,II - Cagayan,2020,367095721.5,19.72113319353671
344,III - C. Luzon,2020,1862908072.0,21.3454045832797
345,IVA - Calabarzon,2020,2565124332.0,21.66527278690901
346,MIMAROPA,2020,341983262.0,19.650272352308736
347,V - Bicol,2020,515793741.0,20.06121751678962
348,VI - W. Visayas,2020,850746746.0,20.561625046477555
349,VII - C. Visayas,2020,1164719190.0,20.875745856282986
350,VIII - E. Visayas,2020,413291591.5,19.83966393448913
351,IX - Zamboanga,2020,394567642.4,19.793301147176837
352,X - N. Mindanao,2020,861506488.6,20.57419314565085
353,XI - Davao,2020,889457658.7,20.60612246270054
354,XII - SOCCSKSARGEN,2020,467905540.9,19.963776997826596
355,XIII - Caraga,2020,291665098.9,19.49111678043933
356,BARMM,2020,260254049.6,19.37716882576096
0,NCR,2021,5983723621.6446,22.51230889032948
1,CAR,2021,306071377.71652,19.539328893227154
2,I - Ilocos,2021,617236626.2028201,20.240763019211734
3,II - Cagayan,2021,378916203.7323,19.752825640269197
4,III - C. Luzon,2021,1922893711.9184,21.377097030012187
5,IVA - Calabarzon,2021,2647721335.4904,21.6969652336415
6,MIMAROPA,2021,352995123.0364,19.681964799041225
7,V - Bicol,2021,532402299.4602,20.09290996352211
8,VI - W. Visayas,2021,878140791.2212,20.593317493210048
9,VII - C. Visayas,2021,1202223147.918,20.907438303015475
10,VIII - E. Visayas,2021,426599580.7463,19.871356381221624
11,IX - Zamboanga,2021,407272720.48528,19.824993593909326
12,X - N. Mindanao,2021,889246997.53292,20.605885592383338
13,XI - Davao,2021,918098195.31014,20.63781490943303
14,XII - SOCCSKSARGEN,2021,482972099.31698,19.995469444559088
15,XIII - Caraga,2021,301056715.08457994,19.522809227171823
16,BARMM,2021,268634229.99712,19.40886127249345
17,NCR,2022,6360698209.808209,22.57340398968929
18,CAR,2022,325353874.51266074,19.600423992586965
19,I - Ilocos,2022,656122533.6535977,20.301858118571545
20,II - Cagayan,2022,402787924.5674349,19.81392073962901
21,III - C. Luzon,2022,2044036015.7692592,21.438192129372
22,IVA - Calabarzon,2022,2814527779.626295,21.75806033300131
23,MIMAROPA,2022,375233815.7876932,19.743059898401036
24,V - Bicol,2022,565943644.3261926,20.15400506288192
25,VI - W. Visayas,2022,933463661.0681356,20.65441259256986
