,year,Philippines,NCR,CAR,I - Ilocos,II - Cagayan,III - C. Luzon,IVA - Calabarzon,MIMAROPA,V - Bicol,VI - W. Visayas,VII - C. Visayas,VIII - E. Visayas,IX - Zamboanga,X - N. Mindanao,XI - Davao,XII - SOCCSKSARGEN,XIII - Caraga,BARMM
0,2010,92337852.0,11855975.0,1616867.0,4748372.0,3229163.0,10137737.0,12609803.0,2744671.0,5420411.0,7102438.0,6800180.0,4101322.0,3407353.0,4297323.0,4468563.0,4109571.0,2429224.0,3256140.0
1,2011,94036955.8,12056622.2,1637520.4,4802931.8,3272824.0,10350003.4,12965281.6,2787635.0,5494390.2,7187679.6,6917412.8,4167888.0,3451048.4,4374333.2,4552012.0,4195172.4,2462126.8,3359882.8
2,2012,95736059.6,12257269.4,1658173.8,4857491.6,3316485.0,10562269.8,13320760.2,2830599.0,5568369.4,7272921.2,7034645.6,4234454.0,3494743.8,4451343.4,4635461.0,4280773.8,2495029.6,3463625.6
3,2013,97435163.4,12457916.6,1678827.2,4912051.4,3360146.0,10774536.2,13676238.8,2873563.0,5642348.6,7358162.8,7151878.4,4301020.0,3538439.2,4528353.6,4718910.0,4366375.2,2527932.4,3567368.4
4,2014,99134267.2,12658563.8,1699480.6,4966611.2,3403807.0,10986802.6,14031717.4,2916527.0,5716327.8,7443404.4,7269111.2,4367586.0,3582134.6,4605363.8,4802359.0,4451976.6,2560835.2,3671111.2
5,2015,100833371.0,12859211.0,1720134.0,5021171.0,3447468.0,11199069.0,14387196.0,2959491.0,5790307.0,7528646.0,7386344.0,4434152.0,3625830.0,4682374.0,4885808.0,4537578.0,2593738.0,3774854.0
6,2016,102530196.0,13066832.0,1739380.0,5076184.0,3493662.0,11437442.0,14741686.0,3006430.0,5865520.0,7610389.0,7511565.0,4495990.0,3660328.0,4755673.0,4967320.0,4621162.0,2627491.0,3853142.0
7,2017,104169230.0,13264805.0,1757717.0,5128542.0,3537703.0,11667642.0,15085285.0,3051342.0,5937321.0,7688734.0,7631003.0,4557614.0,3693191.0,4825658.0,5048419.0,4701027.0,2660236.0,3932991.0
8,2018,105755180.0,13453701.0,1775210.0,5178410.0,3579715.0,11890314.0,15418944.0,3094357.0,6005949.0,7763898.0,7745017.0,4619183.0,3724550.0,4892512.0,5129342.0,4777419.0,2692072.0,4014587.0
9,2019,107288150.0,13633497.0,1791881.0,5225800.0,3619689.0,12105494.0,15742673.0,3135503.0,6071398.0,7835883.0,7853606.0,4680701.0,3754387.0,4956259.0,5210081.0,4850329.0,2723012.0,4097957.0
10,2020,108771978.0,13804656.0,1807738.0,5270807.0,3657741.0,12313718.0,16057299.0,3174859.0,6133836.0,7904899.0,7957046.0,4742337.0,3782761.0,5017051.0,5290869.0,4919936.0,2753109.0,4183316.0
0,2021,110308765.0,13632370.0,1819164.0,5365538.0,3729141.0,12559014.0,16400200.0,3262679.0,6153823.0,8048599.0,8176384.0,4602369.0,3787969.0,5082746.0,5300310.0,4616760.0,2835647.0,4936052.0
1,2022,111544191.0,13775223.0,1840023.0,5428002.0,3771156.0,12691572.0,16599113.0,3295749.0,6223244.0,8139555.0,8267792.0,4655935.0,3829303.0,5140965.0,5355267.0,4655271.0,2865446.0,5010575.0
2,2023,112737707.0,13913026.0,1860216.0,5488451.0,3811726.0,12819703.0,16791312.0,3327535.0,6290306.0,8227461.0,8356089.0,4707797.0,3869156.0,5197325.0,5408163.0,4691959.0,2894155.0,5083327.0
3,2024,113887657.0,14045789.0,1879713.0,5546804.0,3850804.0,12943110.0,16976427.0,3357990.0,6354938.0,8312193.0,8441179.0,4757863.0,3907493.0,5251727.0,5458954.0,4726825.0,2921727.0,5154121.0
4,2025,115003758.0,14174317.0,1898676.0,5603519.0,3888710.0,13062965.0,17156239.0,3387415.0,6417675.0,8394478.0,8523735.0,4806559.0,3944624.0,5304631.0,5508063.0,4760360.0,2948422.0,5223370.0
5,2026,116130773.0,14304145.0,1917845.0,5660792.0,3926959.0,13184570.0,17337222.0,3417109.0,6481007.0,8477587.0,8607104.0,4855716.0,3982087.0,5358101.0,5557626.0,4794341.0,2975365.0,5293197.0
6,2027,117268879.0,14435341.0,1937210.0,5718624.0,3965560.0,13307629.0,17519636.0,3447096.0,6544953.0,8561515.0,8691303.0,4905388.0,4019883.0,5412127.0,5607740.0,4828677.0,3002596.0,5363601.0
7,2028,118418094.0,14567786.0,1956783.0,5777007.0,4004516.0,13432341.0,17703432.0,3477365.0,6609521.0,8646251.0,8776312.0,4955550.0,4058033.0,5466726.0,5658354.0,4863431.0,3030102.0,5434584.0
8,2029,119578586.0,14701475.0,1976572.0,5835962.0,4043831.0,13558763.0,17888618.0,3507923.0,6674695.0,8731821.0,8862173.0,5006210.0,4096549.0,5521879.0,5709410.0,4898618.0,3057890.0,5506197.0
9,2030,120750459.0,14836527.0,1996562.0,5895507.0,4083515.0,13686837.0,18075143.0,3538763.0,6740513.0,8818237.0,8948876.0,5057392.0,4135428.0,5577604.0,5760974.0,4934234.0,3085948.0,5578399.0
